Aerial Assault_hand
Griffin Sentinel_field
Griffin Sentinel_hand
Griffin Sentinel_opp_field
Griffin Sentinel_opp_tapped
Hanged Executioner
Hanged Executioner_field
Hanged Executioner_hand
Hanged Executioner_opp_field
Hanged Executioner_opp_tapped
Hard Cover_field
Hard Cover_hand
Hard Cover_opp_field
Herald of the Sun
Herald of the Sun_field
Herald of the Sun_hand
Herald of the Sun_opp_field
Herald of the Sun_opp_tapped
Inspired Charge_hand
Inspiring Captain
Inspiring Captain_field
Inspiring Captain_hand
Inspiring Captain_opp_field
Inspiring Captain_opp_tapped
Island_field
Island_hand
Island_opp_field
Leyline of Sanctity_field
Leyline of Sanctity_hand
Leyline of Sanctity_opp_field
Loxodon Lifechanter
Loxodon Lifechanter_field
Loxodon Lifechanter_hand
Loxodon Lifechanter_opp_field
Loxodon Lifechanter_opp_tapped
Loyal Pegasus
Loyal Pegasus_field
Loyal Pegasus_hand
Loyal Pegasus_opp_field
Loyal Pegasus_opp_tapped
Master Splicer
Master Splicer_field
Master Splicer_hand
Master Splicer_opp_field
Master Splicer_opp_tapped
Masterful Replication_hand
Metropolis Sprite
Metropolis Sprite_field
Metropolis Sprite_hand
Metropolis Sprite_opp_field
Metropolis Sprite_opp_tapped
Moat Piranhas_field
Moat Piranhas_hand
Moat Piranhas_opp_field
Moat Piranhas_opp_tapped
Moment of Heroism_hand
Moorland Inquisitor
Moorland Inquisitor_field
Moorland Inquisitor_hand
Moorland Inquisitor_opp_field
Moorland Inquisitor_opp_tapped
"Mu Yanling, Sky Dancer_field"
"Mu Yanling, Sky Dancer_hand"
"Mu Yanling, Sky Dancer_opp_field"
Negate_hand
Octoprophet
Octoprophet_field
Octoprophet_hand
Octoprophet_opp_field
Octoprophet_opp_tapped
Pacifism_field
Pacifism_hand
Pacifism_opp_field
Plains_field
Plains_hand
Plains_opp_field
Planar Cleansing_hand
Portal of Sanctuary_field
Portal of Sanctuary_hand
Portal of Sanctuary_opp_field
Raise the Alarm_hand
Renowned Weaponsmith
Renowned Weaponsmith_field
Renowned Weaponsmith_hand
Renowned Weaponsmith_opp_field
Renowned Weaponsmith_opp_tapped
Rule of Law_field
Rule of Law_hand
Rule of Law_opp_field
Sage's Row Denizen
Sage's Row Denizen_field
Sage's Row Denizen_hand
Sage's Row Denizen_opp_field
Sage's Row Denizen_opp_tapped
Scholar of the Ages
Scholar of the Ages_field
Scholar of the Ages_hand
Scholar of the Ages_opp_field
Scholar of the Ages_opp_tapped
"Sephara, Sky's Blade"
"Sephara, Sky's Blade_field"
"Sephara, Sky's Blade_hand"
"Sephara, Sky's Blade_opp_field"
"Sephara, Sky's Blade_opp_tapped"
Sleep Paralysis_field
Sleep Paralysis_hand
Sleep Paralysis_opp_field
Soulmender
Soulmender_field
Soulmender_hand
Soulmender_opp_field
Soulmender_opp_tapped
Spectral Sailor
Spectral Sailor_field
Spectral Sailor_hand
Spectral Sailor_opp_field
Spectral Sailor_opp_tapped
Squad Captain
Squad Captain_field
Squad Captain_hand
Squad Captain_opp_field
Squad Captain_opp_tapped
Starfield Mystic
Starfield Mystic_field
Starfield Mystic_hand
Starfield Mystic_opp_field
Starfield Mystic_opp_tapped
Steadfast Sentry
Steadfast Sentry_field
Steadfast Sentry_hand
Steadfast Sentry_opp_field
Steadfast Sentry_opp_tapped
Tale's End_hand
U
Unsummon_hand
W
Warden of Evos Isle
Warden of Evos Isle_field
Warden of Evos Isle_hand
Warden of Evos Isle_opp_field
Warden of Evos Isle_opp_tapped
Winged Words_hand
Yarok's Wavecrasher
Yarok's Wavecrasher_field
Yarok's Wavecrasher_hand
Yarok's Wavecrasher_opp_field
Yarok's Wavecrasher_opp_tapped
Yoked Ox
Yoked Ox_field
Yoked Ox_hand
Yoked Ox_opp_field
Yoked Ox_opp_tapped
Zephyr Charge_field
Zephyr Charge_hand
Zephyr Charge_opp_field
base_power
base_toughness
double strike
first strike
flash
flying
handsize
handsize_opp
indestructible
libsize
libsize_opp
life
life_opp
lifelink
num_creat_great_both
num_creat_great_both_bool
num_creat_great_power
num_creat_great_power_bool
num_creat_great_toughness
num_creat_great_toughness_bool
num_creat_less_both
num_creat_less_both_bool
num_creat_less_power
num_creat_less_power_bool
num_creat_less_toughness
num_creat_less_toughness_bool
num_creatures
num_lands
num_lands_opp
num_tapped_creatures
num_tapped_creatures_bool
num_untapped_creatures
opp_creat_great_both
opp_creat_great_both_bool
opp_creat_great_power
opp_creat_great_power_bool
opp_creat_great_toughness
opp_creat_great_toughness_bool
opp_creat_less_both
opp_creat_less_both_bool
opp_creat_less_power
opp_creat_less_power_bool
opp_creat_less_toughness
opp_creat_less_toughness_bool
opp_creatures
opp_creatures_bool
opp_tapped_creatures
opp_tapped_creatures_bool
opp_untapped_creatures
opp_untapped_creatures_bool
plus1_plus1_counters
power
toughness
unblockable
vigilance
