Act of Treason_hand
Aerial Assault_hand
Cavalier of Dawn_opp_field
Cavalier of Flame_field
Cavalier of Flame_hand
Cavalier of Flame_opp_field
Cavalier of Gales_field
Cavalier of Gales_hand
Cavalier of Gales_opp_field
Cavalier of Night_field
Cavalier of Night_hand
Cavalier of Night_opp_field
Cavalier of Thorns_field
Cavalier of Thorns_hand
Cavalier of Thorns_opp_field
Centaur Courser_field
Centaur Courser_hand
Centaur Courser_opp_field
Cerulean Drake_field
Cerulean Drake_hand
Cerulean Drake_opp_field
Chandra's Embercat_field
Chandra's Embercat_hand
Chandra's Embercat_opp_field
Chandra's Outrage_hand
Chandra's Regulator_field
Chandra's Regulator_hand
Chandra's Regulator_opp_field
Chandra's Spitfire_field
Chandra's Spitfire_hand
Chandra's Spitfire_opp_field
"Chandra, Awakened Inferno_field"
"Chandra, Awakened Inferno_hand"
"Chandra, Awakened Inferno_opp_field"
"Chandra, Novice Pyromancer_field"
"Chandra, Novice Pyromancer_hand"
"Chandra, Novice Pyromancer_opp_field"
Cloudkin Seer_field
Cloudkin Seer_hand
Cloudkin Seer_opp_field
Convolute_hand
Corpse Knight_field
Corpse Knight_hand
Corpse Knight_opp_field
Creeping Trailblazer_field
Creeping Trailblazer_hand
Creeping Trailblazer_opp_field
Daggersail Aeronaut_field
Daggersail Aeronaut_hand
Daggersail Aeronaut_opp_field
Dawning Angel_field
Dawning Angel_hand
Dawning Angel_opp_field
Daybreak Chaplin_field
Daybreak Chaplin_hand
Daybreak Chaplin_opp_field
Destructive Digger_field
Destructive Digger_hand
Destructive Digger_opp_field
Devout Decree_hand
Disenchant_hand
Disfigure_hand
Dismal Backwater_field
Dismal Backwater_hand
Dismal Backwater_opp_field
Dragon Mage_field
Dragon Mage_hand
Dragon Mage_opp_field
"Drakuseth, Maw of Flames_field"
"Drakuseth, Maw of Flames_hand"
"Drakuseth, Maw of Flames_opp_field"
Drawn from Dreams_hand
Dread Presence_field
Dread Presence_hand
Dread Presence_opp_field
Dungeon Geists_field
Dungeon Geists_hand
Dungeon Geists_opp_field
Duress_hand
Elvish Reclaimer_field
Elvish Reclaimer_hand
Elvish Reclaimer_opp_field
Ember Hauler_field
Ember Hauler_hand
Ember Hauler_opp_field
Embodiment of Agonies_field
Embodiment of Agonies_hand
Embodiment of Agonies_opp_field
Empyrean Eagle_field
Empyrean Eagle_hand
Empyrean Eagle_opp_field
Epicure of Blood_field
Epicure of Blood_hand
Epicure of Blood_opp_field
Eternal Isolation_hand
Faerie Miscreant_field
Faerie Miscreant_hand
Faerie Miscreant_opp_field
Fathom Fleet Cutthroat_field
Fathom Fleet Cutthroat_hand
Fathom Fleet Cutthroat_opp_field
Fencing Ace_field
Fencing Ace_hand
Fencing Ace_opp_field
Feral Abomination_field
Feral Abomination_hand
Feral Abomination_opp_field
Feral_Invocation_field
Feral_Invocation_hand
Feral_Invocation_opp_field
Ferocious Pup_field
Ferocious Pup_hand
Ferocious Pup_opp_field
Fire Elemental_field
Fire Elemental_hand
Fire Elemental_opp_field
Flame Sweep_hand
Flood of Tears_hand
Forest_field
Forest_hand
Forest_opp_field
Fortress Crab_field
Fortress Crab_hand
Fortress Crab_opp_field
Frilled Sea Serpent_field
Frilled Sea Serpent_hand
Frilled Sea Serpent_opp_field
Frost Lynx_field
Frost Lynx_hand
Frost Lynx_opp_field
Fry_hand
"Gargos, Vicious Watcher_field"
"Gargos, Vicious Watcher_hand"
"Gargos, Vicious Watcher_opp_field"
Gauntlet of Light_field
Gauntlet of Light_hand
Gauntlet of Light_opp_field
Gift of Paradise_field
Gift of Paradise_hand
Gift of Paradise_opp_field
Glaring Aegis_field
Glaring Aegis_hand
Glaring Aegis_opp_field
Glint-Horn Buccaneer_field
Glint-Horn Buccaneer_hand
Glint-Horn Buccaneer_opp_field
Goblin Bird-Grabber_field
Goblin Bird-Grabber_hand
Goblin Bird-Grabber_opp_field
Goblin Ringleader_field
Goblin Ringleader_hand
Goblin Ringleader_opp_field
Goblin Smuggler_field
Goblin Smuggler_hand
Goblin Smuggler_opp_field
Gods Willing_hand
Gorging Vulture_field
Gorging Vulture_hand
Gorging Vulture_opp_field
Gravedigger_field
Gravedigger_hand
Gravedigger_opp_field
Greenwood Sentinel_field
Greenwood Sentinel_hand
Greenwood Sentinel_opp_field
Griffin Protector_field
Griffin Protector_hand
Griffin Protector_opp_field
Griffin Sentinel_field
Griffin Sentinel_hand
Griffin Sentinel_opp_field
Growth Cycle_hand
Gruesome Scourger_field
Gruesome Scourger_hand
Gruesome Scourger_opp_field
Hanged Executioner_field
Hanged Executioner_hand
Hanged Executioner_opp_field
Hard Cover_field
Hard Cover_hand
Hard Cover_opp_field
Healer of the Glade_field
Healer of the Glade_hand
Healer of the Glade_opp_field
Herald of the Sun_field
Herald of the Sun_hand
Herald of the Sun_opp_field
Howling Giant_field
Howling Giant_hand
Howling Giant_opp_field
Infuriate_hand
Inspired Charge_hand
Inspiring Captain_field
Inspiring Captain_hand
Inspiring Captain_opp_field
Ironroot Warlord_field
Ironroot Warlord_hand
Ironroot Warlord_opp_field
Island_field
Island_hand
Island_opp_field
Jungle Hollow_field
Jungle Hollow_hand
Jungle Hollow_opp_field
Keldon Raider_field
Keldon Raider_hand
Keldon Raider_opp_field
"Kethis, the Hidden Hand_field"
"Kethis, the Hidden Hand_hand"
"Kethis, the Hidden Hand_opp_field"
Knight of the Ebon Legion_field
Knight of the Ebon Legion_hand
Knight of the Ebon Legion_opp_field
"Kykar, Winds Fury_field"
"Kykar, Winds Fury_hand"
"Kykar, Winds Fury_opp_field"
Lavakin Brawler_field
Lavakin Brawler_hand
Lavakin Brawler_opp_field
Leafkin Druid_field
Leafkin Druid_hand
Leafkin Druid_opp_field
Legion's End_hand
Leyline of Abundance_field
Leyline of Abundance_hand
Leyline of Abundance_opp_field
Leyline of Anticipation_field
Leyline of Anticipation_hand
Leyline of Anticipation_opp_field
Leyline of Combustion_field
Leyline of Combustion_hand
Leyline of Combustion_opp_field
Leyline of Sanctity_field
Leyline of Sanctity_hand
Leyline of Sanctity_opp_field
Leyline of the Void_field
Leyline of the Void_hand
Leyline of the Void_opp_field
Lightning Stormkin_field
Lightning Stormkin_hand
Lightning Stormkin_opp_field
Loaming Shaman_field
Loaming Shaman_hand
Loaming Shaman_opp_field
Loxodon Lifechanter_field
Loxodon Lifechanter_hand
Loxodon Lifechanter_opp_field
Loyal Pegasus_field
Loyal Pegasus_hand
Loyal Pegasus_opp_field
Mammoth Spider_field
Mammoth Spider_hand
Mammoth Spider_opp_field
Maniacal Rage_field
Maniacal Rage_hand
Maniacal Rage_opp_field
Marauding Raptor_field
Marauding Raptor_hand
Marauding Raptor_opp_field
Mask of Immolation_field
Mask of Immolation_hand
Mask of Immolation_opp_field
Master Splicer_field
Master Splicer_hand
Master Splicer_opp_field
Masterful Replication_hand
Metropolis Sprite_field
Metropolis Sprite_hand
Metropolis Sprite_opp_field
Might of the Masses_hand
Mind Rot_hand
Moat Piranhas_field
Moat Piranhas_hand
Moat Piranhas_opp_field
Moldervine Reclaimation_field
Moldervine Reclaimation_hand
Moldervine Reclaimation_opp_field
Moment of Heroism_hand
Moorland Inquisitor_field
Moorland Inquisitor_hand
Moorland Inquisitor_opp_field
Mountain_field
Mountain_hand
Mountain_opp_field
"Mu Yanling, Sky Dancer_field"
"Mu Yanling, Sky Dancer_hand"
"Mu Yanling, Sky Dancer_opp_field"
Murder_hand
Negate_hand
Netcaster Spider_field
Netcaster Spider_hand
Netcaster Spider_opp_field
Nightpack Ambusher_field
Nightpack Ambusher_hand
Nightpack Ambusher_opp_field
Noxious Grasp_hand
Octoprophet_field
Octoprophet_hand
Octoprophet_opp_field
Ogre Siegebreaker_field
Ogre Siegebreaker_hand
Ogre Siegebreaker_opp_field
Overcome_hand
Overgrowth Elemental_field
Overgrowth Elemental_hand
Overgrowth Elemental_opp_field
Pacifism_field
Pacifism_hand
Pacifism_opp_field
Pack Mastiff_field
Pack Mastiff_hand
Pack Mastiff_opp_field
Plains_field
Plains_hand
Plains_opp_field
Planar Cleansing_hand
Plummet_hand
Portal of Sanctuary_field
Portal of Sanctuary_hand
Portal of Sanctuary_opp_field
Pulse of Murasa_hand
Rabid_Bite_hand
Raise the Alarm_hand
Rapacious Dragon_field
Rapacious Dragon_hand
Rapacious Dragon_opp_field
Reckless Air Strike_hand
Reduce to Ashes_hand
Renowned Weaponsmith_field
Renowned Weaponsmith_hand
Renowned Weaponsmith_opp_field
Repeated Reverberation_hand
Ripscale Predator_field
Ripscale Predator_hand
Ripscale Predator_opp_field
Risen Reef_field
Risen Reef_hand
Risen Reef_opp_field
Rotting Regisaur_field
Rotting Regisaur_hand
Rotting Regisaur_opp_field
Rugged Highlands_field
Rugged Highlands_hand
Rugged Highlands_opp_field
Rule of Law_field
Rule of Law_hand
Rule of Law_opp_field
Sage's Row Denizen_field
Sage's Row Denizen_hand
Sage's Row Denizen_opp_field
Sanitarium Skeleton_field
Sanitarium Skeleton_hand
Sanitarium Skeleton_opp_field
Scampering Scorcher_field
Scampering Scorcher_hand
Scampering Scorcher_opp_field
Scheming Symmetry_hand
Scholar of the Ages_field
Scholar of the Ages_hand
Scholar of the Ages_opp_field
Scorch Spitter_field
Scorch Spitter_hand
Scorch Spitter_opp_field
Scoured Barrens_field
Scoured Barrens_hand
Scoured Barrens_opp_field
Season of Growth_field
Season of Growth_hand
Season of Growth_opp_field
Sedge Scorpion_field
Sedge Scorpion_hand
Sedge Scorpion_opp_field
"Sephara, Sky's Blade_field"
"Sephara, Sky's Blade_hand"
"Sephara, Sky's Blade_opp_field"
Shared Summons_hand
Shock_hand
Skyknight Vanguard_field
Skyknight Vanguard_hand
Skyknight Vanguard_opp_field
Sleep Paralysis_field
Sleep Paralysis_hand
Sleep Paralysis_opp_field
Sorcerer of the Fang_field
Sorcerer of the Fang_hand
Sorcerer of the Fang_opp_field
"Sorin, Imperious Bloodlord_field"
"Sorin, Imperious Bloodlord_hand"
"Sorin, Imperious Bloodlord_opp_field"
Soul Salvage_hand
Soulmender_field
Soulmender_hand
Soulmender_opp_field
Spectral Sailor_field
Spectral Sailor_hand
Spectral Sailor_opp_field
Squad Captain_field
Squad Captain_hand
Squad Captain_opp_field
Starfield Mystic_field
Starfield Mystic_hand
Starfield Mystic_opp_field
Steadfast Sentry_field
Steadfast Sentry_hand
Steadfast Sentry_opp_field
Swamp_field
Swamp_hand
Swamp_opp_field
Swiftwater Cliffs_field
Swiftwater Cliffs_hand
Swiftwater Cliffs_opp_field
Tale's End_hand
Tectonic Rift_hand
Temple of Epiphany_field
Temple of Epiphany_hand
Temple of Epiphany_opp_field
Temple of Malady_field
Temple of Malady_hand
Temple of Malady_opp_field
Temple of Mystery_field
Temple of Mystery_hand
Temple of Mystery_opp_field
Temple of Silence_field
Temple of Silence_hand
Temple of Silence_opp_field
Temple of Triumph_field
Temple of Triumph_hand
Temple of Triumph_opp_field
Thicket Crasher_field
Thicket Crasher_hand
Thicket Crasher_opp_field
Thornwood Falls_field
Thornwood Falls_hand
Thornwood Falls_opp_field
Thought Distortion_hand
Thrashing Brontodon_field
Thrashing Brontodon_hand
Thrashing Brontodon_opp_field
Thunderkin Awakener_field
Thunderkin Awakener_hand
Thunderkin Awakener_opp_field
Tomebound Lich_field
Tomebound Lich_hand
Tomebound Lich_opp_field
Tranquil Cove_field
Tranquil Cove_hand
Tranquil Cove_opp_field
Uncaged Fury_hand
Unchained Berserker_field
Unchained Berserker_hand
Unchained Berserker_opp_field
Undead Servant_field
Undead Servant_hand
Undead Servant_opp_field
Unholy Indenture_field
Unholy Indenture_hand
Unholy Indenture_opp_field
Unsummon_hand
Vampire of the Dire Moon_field
Vampire of the Dire Moon_hand
Vampire of the Dire Moon_opp_field
Veil of Summer_hand
Vengeful Warchief_field
Vengeful Warchief_hand
Vengeful Warchief_opp_field
"Vilis, Broker of Blood_field"
"Vilis, Broker of Blood_hand"
"Vilis, Broker of Blood_opp_field"
"Vivien, Arkbow Ranger_field"
"Vivien, Arkbow Ranger_hand"
"Vivien, Arkbow Ranger_opp_field"
Voracious Hydra_field
Voracious Hydra_hand
Voracious Hydra_opp_field
Vorstclaw_field
Vorstclaw_hand
Vorstclaw_opp_field
Wakeroot Elemental_field
Wakeroot Elemental_hand
Wakeroot Elemental_opp_field
Warden of Evos Isle_field
Warden of Evos Isle_hand
Warden of Evos Isle_opp_field
Wind-Scarred Crag_field
Wind-Scarred Crag_hand
Wind-Scarred Crag_opp_field
Winged Words_hand
Wolfkin Bond_field
Wolfkin Bond_hand
Wolfkin Bond_opp_field
Wolfriders Saddle_field
Wolfriders Saddle_hand
Wolfriders Saddle_opp_field
Woodland Champion_field
Woodland Champion_hand
Woodland Champion_opp_field
Yarok's Fenlurker_field
Yarok's Fenlurker_hand
Yarok's Fenlurker_opp_field
Yarok's Wavecrasher_field
Yarok's Wavecrasher_hand
Yarok's Wavecrasher_opp_field
"Yarok, the Desecrated_field"
"Yarok, the Desecrated_hand"
"Yarok, the Desecrated_opp_field"
Yoked Ox_field
Yoked Ox_hand
Yoked Ox_opp_field
Zephyr Charge_field
Zephyr Charge_hand
Zephyr Charge_opp_field
game
handsize
handsize_opp
libsize
libsize_opp
life
life_opp
ncreatures_defender
ncreatures_double strike
ncreatures_first strike
ncreatures_flash
ncreatures_flying
ncreatures_hexproof
ncreatures_indestructible
ncreatures_lifelink
ncreatures_opp_defender
ncreatures_opp_double strike
ncreatures_opp_first strike
ncreatures_opp_flash
ncreatures_opp_flying
ncreatures_opp_hexproof
ncreatures_opp_indestructible
ncreatures_opp_lifelink
ncreatures_opp_reach
ncreatures_opp_unblockable
ncreatures_opp_vigilance
ncreatures_reach
ncreatures_unblockable
ncreatures_vigilance
num_creatures
num_lands
num_lands_opp
num_tapped_creatures
opp_creatures
opp_power_0tough_1
opp_power_0tough_2
opp_power_0tough_3
opp_power_0tough_4
opp_power_0tough_5
opp_power_0tough_6
opp_power_0tough_7
opp_power_1tough_1
opp_power_1tough_2
opp_power_1tough_3
opp_power_1tough_4
opp_power_1tough_5
opp_power_1tough_6
opp_power_1tough_7
opp_power_2tough_1
opp_power_2tough_2
opp_power_2tough_3
opp_power_2tough_4
opp_power_2tough_5
opp_power_2tough_6
opp_power_2tough_7
opp_power_3tough_1
opp_power_3tough_2
opp_power_3tough_3
opp_power_3tough_4
opp_power_3tough_5
opp_power_3tough_6
opp_power_3tough_7
opp_power_4tough_1
opp_power_4tough_2
opp_power_4tough_3
opp_power_4tough_4
opp_power_4tough_5
opp_power_4tough_6
opp_power_4tough_7
opp_power_5tough_1
opp_power_5tough_2
opp_power_5tough_3
opp_power_5tough_4
opp_power_5tough_5
opp_power_5tough_6
opp_power_5tough_7
opp_power_6tough_1
opp_power_6tough_2
opp_power_6tough_3
opp_power_6tough_4
opp_power_6tough_5
opp_power_6tough_6
opp_power_6tough_7
opp_power_7tough_1
opp_power_7tough_2
opp_power_7tough_3
opp_power_7tough_4
opp_power_7tough_5
opp_power_7tough_6
opp_tapped_creatures
opp_untapped_creatures
power_0tough_1
power_0tough_2
power_0tough_3
power_0tough_4
power_0tough_5
power_0tough_6
power_1tough_1
power_1tough_2
power_1tough_3
power_1tough_4
power_1tough_5
power_1tough_6
power_1tough_7
power_2tough_1
power_2tough_2
power_2tough_3
power_2tough_4
power_2tough_5
power_2tough_6
power_2tough_7
power_3tough_0
power_3tough_1
power_3tough_2
power_3tough_3
power_3tough_4
power_3tough_5
power_3tough_6
power_3tough_7
power_4tough_1
power_4tough_2
power_4tough_3
power_4tough_4
power_4tough_5
power_4tough_6
power_4tough_7
power_5tough_1
power_5tough_2
power_5tough_3
power_5tough_4
power_5tough_5
power_5tough_6
power_5tough_7
power_6tough_1
power_6tough_2
power_6tough_3
power_6tough_4
power_6tough_5
power_6tough_6
power_6tough_7
power_7tough_1
power_7tough_2
power_7tough_3
power_7tough_4
power_7tough_5
power_7tough_6
turn
